text,true_label,predicted_label,github,protocol_id
Herr Karlsson K G Herr talman Den förste ärade talaren som yrkade avslag å samtliga motioner ansåg det vara inopportunt att komma fram med sådana förslag för närvarande Däremot vill jag endast svara att det givetvis är beroende på det intresse man har för ifrågavarande angelägenhet om man anser det vara 1nopportunt att framlägga dessa förslag eller icke,note,seg,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1917/prot-1917--fk--027.xml#L1435,prot-1917--fk--027
2 Vidare var det då en talare på göteborgsbänken som i detta sammanhang ehuru det nu föreliggande betänkandet då ännu icke var föredraget yttrade att bovillninentbakottet satte i fråga e,note,seg,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1894/prot-1894--ak--041.xml#L1555,prot-1894--ak--041
Statskontoret Ekonomistyrningsverket Kommerskollegium och Riksrevisionsverket,seg,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/200102/prot-200102--123.xml#L1744,prot-200102--123
ående,seg,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1894/prot-1894--ak--041.xml#L1550,prot-1894--ak--041
Efter föredragning vidare af Kungl Majts proposition angående anslag för påbörjande af fullständiga undersökningar rörande den så kallade inlandsbanan begärdes ordet af,seg,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1904/prot-1904--ak--033.xml#L301,prot-1904--ak--033
verlden för att skaffa dem platser Från en annan byrå har meddelats,seg,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1898/prot-1898--ak--008.xml#L1319,prot-1898--ak--008
Herr Hagård säger,seg,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1953/prot-1953--ak--031.xml#L855,prot-1953--ak--031
spektiv Nr 137 Jordbruksministern påminner om att det för både producenter och kon Fredagen den sumenter var ett problem med de överskott vi hade Jag erkänner att 6 december 1974 det var problem men jag vågar säga att problemet den gången förstorades LL det finns faktiskt utvecklat i reservationen av herr Haeggblom till jord Ang jordbrukspolibruksutredningen Produktionskostnaden för den marginella överproduk tiken tionen var så låg att den icke var belastande i en samhällsekonomisk kalkyl Jag vill dock gärna erkänna att det rent direkt tedde sig som ett problem Jag vill emellertid även slå fast att vad som sedermera inträffat faktiskt förutsågs redan på den tiden Nu säger herr Lundkvist att vi skall eftersträva ett jordbruk som tryggar vår försörjning I det fallet är vi överens Men jag tycker att herr Lundkvist är påfallande försiktig och rund i formuleringen Vad är det som herr Lundkvist avser med detta Skall vi trygga vår försörjning i rimlig grad eller skall vi eftersträva vilket jag uttryckte förut full försörjningsförmåga Herr Lundkvist säger att han inte vill binda utredningen Vore det egentligen avvikande från praxis att jordbruksministern sade till utredningen att undersöka förutsättningarna och vilka medel som skall tillgripas för att vi skall få full försörjningsförmåga Det vore helt och hållet i harmoni med situationen ute i världen i dag Sedan säger herr Lundkvist att man har anpassat jordbrukspolitiken efter förhållandena Javisst 1971 när man fick den stora krisen och var tvungen att på en enda gång radikalt höja mjölkpriset var det bara därför att man faktiskt på fyra år hade kört näringen i botten Även i jordbruksdepartementet insåg man att här var fara å färde och fick tillgripa radikala åtgärder Man hade rivit ner produktionsförutsättningarna och det gjorde att kostnaderna för att bygga upp dem blev höga Jag vågar inte säga hur mycket det beslut som fattades 1967 i riksdagen av en socialistisk majoritet har kostat svenska folket men nog har det åsamkat det svenska folkhushållet onödiga kostnader Herr Lundkvist citerade ur herr Bohmans interpellation att man numera också gav rationaliseringsstöd till de mindre jordbruken Det är alldeles riktigt den beskrivningen i interpellationen är helt korrekt Men varför blev det så Jo på grund av motioner och framstötar i denna riksdag från de tre borgerliga partierna Till en början accepterades det alls icke av regeringen utan först så småningom inför vad som rullades upp år 1971 när situationen blev allvarlig Jag skall gärna ge regeringen en eloge för att den då accepterade våra krav Men det var inte regeringen utan oppositionspartierna som var pådrivande För att gå över till prissystem osv säger herr Lundkvist att jag menade att subventioner var meningslösa Jag vet mig aldrig ha sagt det Tvärtom sade jag att de hade betydelse för vissa grupper Jag sade att om,note,seg,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1974/prot-1974--137.xml#L2981,prot-1974--137
Schönbeck Högstedt Grundell Petri Johansson i Bastholmen Lillie Om för höök Zetterstrand och Nilsson i Tönnersa ändradt och förbättradt ensionerings Herr Boäthius Jag har icke uppfattat den ärade represätt för sjöfolk sentantens på stockholmsbänken första yttrande såsom någon anoch deras märkning mot utskottet men jag ansåg mig likväl skyldig att för Poe kammaren klargöra hvad som förmått utskottet att behandla denna C ( Eorts ) fråga såsom det gjort Med anledning af denna talares senaste yttrande skall jag be att få framföra utskottets tacksamhet för hans välvilliga ord om utskottets arbete Men hvad sjelfva hufvudsaken beträffar kan jag dock icke vara ense med honom Vore det så att jag kunde tro att man genom ett antagande af utskottets förslag skulle skada den sak om hvilken här är fråga och det blefve ju händelsen i fall icke Kongl Majt skulle förstå hvad det är som behöfver utredas skulle jag mycket gerna vara med om att offra utskottets uppfattning Men det är just häri som jag är af en olika mening med den ärade talaren Jag anser det nemligen vara alldeles klart och tydligt påvisadt hvad det är för utredning som är erforderlig Det är dels en utredning af de statistiska förhållandena i afseende på sjöfolks pensionering och dels en utredning rörande sjömanshusens fonder Således kan jag icke finna att om utskottets förslag antages vi komma att skrifva till Kongl Majt om något obestämdt Jag tror icke alls att en skrifvelse till Kongl Majt i enlighet med utskottets hemställan kommer att skada saken utan tvärt om gagna densamma och jag tror detta af flera skäl Det tyckes mig framgå af åtskilligt att frågans ställning nu är sådan att Kongl Majt genom att ur lagförslaget om allmän ålderdomsförsäkring utesluta sjömansklassen hatt för afsigt visserligen att egna uppmärksamhet åt denna fråga men att likväl skjuta den åt sidan till dess den stora pensionsfrågan blifvit löst Under sådana förhållanden skulle det ju kunna hända att frågan om sjömännens pensionering blefve uppskjuten till en ganska aflägsen framtid och det är detta som utskottet velat förhindra Då denna fråga för öfrigt icke står i något organiskt sammanhang med den allmänna pensioneringsfrågan har utskottet också ansett att den bör kunna lösas oberoende af denna senare fråga Antager derför kammaren och sedan Riksdagen utskottets förslag synes mig detta innebära att Riksdagen låter Kongl Majt veta att Riksdagen önskar att denna fråga snart företages till behandling och icke sättes efter den andra frågan Det är ett sådant uttalande från Riksdagens sida som jag,note,seg,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1895/prot-1895--ak--030.xml#L3224,prot-1895--ak--030
Anslag till upplysningsarbete för freden ( Forts ) om vi skola få möjligheter härtill måste vi gå ut till folket som bör bibringas uppfattning om fredens betydelse Det är därför jag tycker att herr Nerman om han varit konsekvent och verkligen velat vara den reformator av Nationernas förbund som han här önskade skulle ha anslutit sig till det föreliggande förslaget även om det gäller ett så litet belopp som det ifrågavarande,note,seg,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1933/prot-1933--fk--014.xml#L5407,prot-1933--fk--014
